[INFO 9:23:53 AM] miguelsolorio.symbols activated
[INFO 9:23:53 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 9:23:53 AM] symbols.folders.associations changed, updating to undefined
[INFO 9:23:53 AM] symbols.files.associations changed, updating to undefined
[INFO 9:23:55 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 9:23:55 AM] symbols.folders.associations changed, updating to undefined
[INFO 9:23:55 AM] symbols.files.associations changed, updating to undefined
[INFO 9:24:14 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 9:24:14 AM] symbols.folders.associations changed, updating to undefined
[INFO 9:24:14 AM] symbols.files.associations changed, updating to undefined
[INFO 9:24:21 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 9:24:21 AM] symbols.folders.associations changed, updating to undefined
[INFO 9:24:21 AM] symbols.files.associations changed, updating to undefined
