[INFO 1:51:40 PM] miguelsolorio.symbols activated
[INFO 1:51:40 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:51:40 PM] symbols.folders.associations changed, updating to undefined
[INFO 1:51:40 PM] symbols.files.associations changed, updating to undefined
[INFO 1:53:48 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:53:48 PM] symbols.folders.associations changed, updating to undefined
[INFO 1:53:48 PM] symbols.files.associations changed, updating to undefined
[INFO 1:54:15 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:54:15 PM] symbols.folders.associations changed, updating to undefined
[INFO 1:54:15 PM] symbols.files.associations changed, updating to undefined
[INFO 1:55:25 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:55:25 PM] symbols.folders.associations changed, updating to undefined
[INFO 1:55:25 PM] symbols.files.associations changed, updating to undefined
[INFO 2:01:47 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 2:01:47 PM] symbols.folders.associations changed, updating to undefined
[INFO 2:01:47 PM] symbols.files.associations changed, updating to undefined
[INFO 2:04:28 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 2:04:28 PM] symbols.folders.associations changed, updating to undefined
[INFO 2:04:28 PM] symbols.files.associations changed, updating to undefined
[INFO 2:04:29 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 2:04:29 PM] symbols.folders.associations changed, updating to undefined
[INFO 2:04:29 PM] symbols.files.associations changed, updating to undefined
[INFO 2:06:27 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 2:06:27 PM] symbols.folders.associations changed, updating to undefined
[INFO 2:06:27 PM] symbols.files.associations changed, updating to undefined
[INFO 2:08:20 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 2:08:20 PM] symbols.folders.associations changed, updating to undefined
[INFO 2:08:20 PM] symbols.files.associations changed, updating to undefined
[INFO 2:09:46 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 2:09:46 PM] symbols.folders.associations changed, updating to undefined
[INFO 2:09:46 PM] symbols.files.associations changed, updating to undefined
[INFO 2:13:00 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 2:13:00 PM] symbols.folders.associations changed, updating to undefined
[INFO 2:13:00 PM] symbols.files.associations changed, updating to undefined
[INFO 2:14:08 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 2:14:08 PM] symbols.folders.associations changed, updating to undefined
[INFO 2:14:08 PM] symbols.files.associations changed, updating to undefined
[INFO 2:15:18 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 2:15:18 PM] symbols.folders.associations changed, updating to undefined
[INFO 2:15:18 PM] symbols.files.associations changed, updating to undefined
[INFO 2:24:49 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 2:24:49 PM] symbols.folders.associations changed, updating to undefined
[INFO 2:24:49 PM] symbols.files.associations changed, updating to undefined
