2024-12-28 15:45:49.905 [error] [/home/anu/.vscode/extensions/vdanchenkov.tailwind-class-sorter-0.0.1]: Failed to parse /home/anu/.vscode/extensions/vdanchenkov.tailwind-class-sorter-0.0.1/package.json: [0, 0] Value expected.
2024-12-28 15:45:49.923 [error] [/home/anu/.vscode/extensions/vdanchenkov.tailwind-class-sorter-0.0.1]: Failed to parse /home/anu/.vscode/extensions/vdanchenkov.tailwind-class-sorter-0.0.1/package.json: [0, 0] Value expected.
2024-12-28 15:45:49.958 [error] [/home/anu/.vscode/extensions/vdanchenkov.tailwind-class-sorter-0.0.1]: Failed to parse /home/anu/.vscode/extensions/vdanchenkov.tailwind-class-sorter-0.0.1/package.json: [0, 0] Value expected.
2024-12-28 15:45:50.691 [error] [/home/anu/.vscode/extensions/vdanchenkov.tailwind-class-sorter-0.0.1]: Failed to parse /home/anu/.vscode/extensions/vdanchenkov.tailwind-class-sorter-0.0.1/package.json: [0, 0] Value expected.
2024-12-28 15:45:50.692 [error] [/home/anu/.vscode/extensions/xabikos.javascriptsnippets-1.8.0]: Failed to parse /home/anu/.vscode/extensions/xabikos.javascriptsnippets-1.8.0/package.json: [0, 0] Value expected.
2024-12-28 15:45:51.048 [error] [/home/anu/.vscode/extensions/vdanchenkov.tailwind-class-sorter-0.0.1]: Failed to parse /home/anu/.vscode/extensions/vdanchenkov.tailwind-class-sorter-0.0.1/package.json: [0, 0] Value expected.
2024-12-28 15:45:51.286 [error] [/home/anu/.vscode/extensions/vdanchenkov.tailwind-class-sorter-0.0.1]: Failed to parse /home/anu/.vscode/extensions/vdanchenkov.tailwind-class-sorter-0.0.1/package.json: [0, 0] Value expected.
2024-12-28 15:45:51.466 [error] [/home/anu/.vscode/extensions/vdanchenkov.tailwind-class-sorter-0.0.1]: Failed to parse /home/anu/.vscode/extensions/vdanchenkov.tailwind-class-sorter-0.0.1/package.json: [0, 0] Value expected.
2024-12-28 15:45:51.796 [error] [/home/anu/.vscode/extensions/vdanchenkov.tailwind-class-sorter-0.0.1]: Failed to parse /home/anu/.vscode/extensions/vdanchenkov.tailwind-class-sorter-0.0.1/package.json: [0, 0] Value expected.
2024-12-28 15:45:51.953 [error] [/home/anu/.vscode/extensions/vdanchenkov.tailwind-class-sorter-0.0.1]: Failed to parse /home/anu/.vscode/extensions/vdanchenkov.tailwind-class-sorter-0.0.1/package.json: [0, 0] Value expected.
2024-12-28 15:45:51.973 [error] [/home/anu/.vscode/extensions/vdanchenkov.tailwind-class-sorter-0.0.1]: Failed to parse /home/anu/.vscode/extensions/vdanchenkov.tailwind-class-sorter-0.0.1/package.json: [0, 0] Value expected.
