[INFO 4:48:20 PM] miguelsolorio.symbols activated
[INFO 4:48:20 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:48:20 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:48:20 PM] symbols.files.associations changed, updating to undefined
[INFO 4:54:17 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:54:17 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:54:17 PM] symbols.files.associations changed, updating to undefined
[INFO 4:55:58 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:55:58 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:55:58 PM] symbols.files.associations changed, updating to undefined
[INFO 5:00:57 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:00:57 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:00:57 PM] symbols.files.associations changed, updating to undefined
[INFO 5:02:07 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:02:07 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:02:07 PM] symbols.files.associations changed, updating to undefined
[INFO 5:08:29 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:08:29 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:08:29 PM] symbols.files.associations changed, updating to undefined
[INFO 5:39:48 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:39:48 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:39:48 PM] symbols.files.associations changed, updating to undefined
[INFO 5:47:01 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:47:01 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:47:01 PM] symbols.files.associations changed, updating to undefined
[INFO 5:51:14 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:51:14 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:51:14 PM] symbols.files.associations changed, updating to undefined
[INFO 5:51:36 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:51:36 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:51:36 PM] symbols.files.associations changed, updating to undefined
[INFO 5:52:49 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:52:49 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:52:49 PM] symbols.files.associations changed, updating to undefined
[INFO 5:53:14 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:53:14 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:53:14 PM] symbols.files.associations changed, updating to undefined
[INFO 5:53:24 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:53:24 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:53:24 PM] symbols.files.associations changed, updating to undefined
[INFO 5:53:34 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:53:34 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:53:34 PM] symbols.files.associations changed, updating to undefined
[INFO 5:53:49 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:53:49 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:53:49 PM] symbols.files.associations changed, updating to undefined
[INFO 5:54:15 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:54:15 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:54:15 PM] symbols.files.associations changed, updating to undefined
[INFO 5:54:47 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:54:47 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:54:47 PM] symbols.files.associations changed, updating to undefined
[INFO 5:56:23 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:56:23 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:56:23 PM] symbols.files.associations changed, updating to undefined
[INFO 5:56:24 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:56:24 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:56:24 PM] symbols.files.associations changed, updating to undefined
[INFO 5:57:08 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:57:08 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:57:08 PM] symbols.files.associations changed, updating to undefined
[INFO 5:57:17 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:57:17 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:57:17 PM] symbols.files.associations changed, updating to undefined
[INFO 5:57:35 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:57:35 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:57:35 PM] symbols.files.associations changed, updating to undefined
[INFO 5:58:37 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:58:37 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:58:37 PM] symbols.files.associations changed, updating to undefined
[INFO 5:59:00 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:59:00 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:59:00 PM] symbols.files.associations changed, updating to undefined
[INFO 5:59:11 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:59:11 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:59:11 PM] symbols.files.associations changed, updating to undefined
[INFO 5:59:29 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:59:29 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:59:29 PM] symbols.files.associations changed, updating to undefined
[INFO 6:00:02 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:00:02 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:00:02 PM] symbols.files.associations changed, updating to undefined
[INFO 6:01:00 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:01:00 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:01:00 PM] symbols.files.associations changed, updating to undefined
[INFO 6:01:24 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:01:24 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:01:24 PM] symbols.files.associations changed, updating to undefined
[INFO 6:01:27 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:01:27 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:01:27 PM] symbols.files.associations changed, updating to undefined
[INFO 6:02:28 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:02:28 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:02:28 PM] symbols.files.associations changed, updating to undefined
[INFO 6:03:01 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:03:01 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:03:01 PM] symbols.files.associations changed, updating to undefined
[INFO 6:03:04 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:03:04 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:03:04 PM] symbols.files.associations changed, updating to undefined
[INFO 6:03:12 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:03:12 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:03:12 PM] symbols.files.associations changed, updating to undefined
[INFO 6:04:34 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:04:34 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:04:34 PM] symbols.files.associations changed, updating to undefined
[INFO 6:04:37 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:04:37 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:04:37 PM] symbols.files.associations changed, updating to undefined
[INFO 6:05:16 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:05:16 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:05:16 PM] symbols.files.associations changed, updating to undefined
[INFO 6:05:59 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:05:59 PM] symbols.folders.associations changed, updating to undefined
