a52dec 0.7.4-11
aalib 1.4rc5-14
accountsservice 22.08.8-2
acl 2.3.1-2
acpica 20220331-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adwaita-icon-theme 42.0+r1+gc144c3d75-1
aic94xx-firmware 30-9
alacritty 0.11.0-1
alsa-card-profiles 1:0.3.59-2
alsa-firmware 1.2.4-2
alsa-lib 1.2.7.2-1
alsa-plugins 1:1.2.7.1-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.7.2-1
alsa-utils 1.2.7-1
amdvlk 2022.Q4.1-1
android-sdk-platform-tools 33.0.3-1
aom 3.5.0-1
appstream 0.15.5-1
appstream-glib 0.8.1-1
arandr 0.1.10-7
arc-gtk-theme 20220405-1
arch-install-scripts 27-1
archlinux-appstream-data 20221014-1
archlinux-keyring 20220927-1
archlinux-tweak-tool-git 22.10-03
arcolinux-alacritty-git 22.05-01
arcolinux-arc-kde 20220908-01
arcolinux-grub-theme-vimix-git 20220707-01
arcolinux-keyring 20230919-6
arcolinux-logout 22.05_27-1
arcolinux-mirrorlist-git 22.04-01
arcolinux-neofetch-git 22.07-04
arcolinux-paru-git 21.07-01
arcolinux-sddm-simplicity-git 22.09-02
arcolinuxd-system-config-git 22.10-01
arcolinuxd-welcome-app-git 22.07-01
argon2 20190702-4
asciidoc 10.2.0-1
asciinema 2.2.0-2
at-spi2-core 2.46.0-2
atkmm 2.28.3-1
attr 2.5.1-2
audacity 1:3.2.1-2
audiofile 0.3.6-7
audit 3.0.8-1
augeas 1.13.0-1
autoconf 2.71-1
automake 1.16.5-1
autotiling 1.6-3
avahi 0.8+22+gfd482a7-3
avisynthplus 3.7.2-1
awesome-terminal-fonts 1.1.0-4
babl 0.1.96-1
base 3-1
bash 5.1.016-1
bash-completion 2.11-3
bat 0.22.1-1
bc 1.07.1-4
bibata-cursor-theme-bin 2.0.2-1
bind 9.18.8-1
binutils 2.39-3
bison 3.8.2-4
blas 3.10.1-1
blueman 2.3.2-1
bluez 5.65-3
bluez-libs 5.65-3
bluez-utils 5.65-3
boost-libs 1.80.0-3
box2d 2.4.1-1
brave-bin 1:1.44.112-1
bridge-utils 1.7.1-1
brightnessctl-git 0.5.1.r17.gef49d47-1
broadcom-wl-dkms 6.30.223.271-35
brotli 1.0.9-8
btrfs-progs 6.0-1
bubblewrap 0.6.2-1
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.84-1
ca-certificates-utils 20220905-1
cairo 1.17.6-2
cairomm 1.14.4-1
calc 2.14.1.0-1
candy-icons-git r933.a14330c-1
cantarell-fonts 1:0.303.1-1
capstone 4.0.2-6
cblas 3.10.1-1
cdparanoia 10.2-8
chaotic-keyring 20220803-1
chaotic-mirrorlist 20221008-2
chromaprint 1.5.1-4
chromium 106.0.5249.119-2
cifs-utils 7.0-1
clang 14.0.6-3
clonezilla 3.35.2-4
clucene 2.3.3.4-12
cmake 3.24.2-1
compiler-rt 14.0.6-1
confuse 3.3-3
copyq 6.3.2-1
coreutils 9.1-1
cpio 2.13-2
cracklib 2.9.8-1
cryptsetup 2.5.0-1
cups 1:2.4.2-3
cups-filters 1.28.16-2
cups-pdf 3.0.1-6
cups-pk-helper 0.2.7-1
curl 7.85.0-2
cython 0.29.32-2
dav1d 1.0.0-1
db 5.3.28-5
dbus 1.14.4-1
dbus-glib 0.112-2
dbus-python 1.2.18-3
dconf 0.40.0-1
ddcutil 1.3.0-1
ddrescue 1.26-1
debootstrap 1.0.128-1
debugedit 5.0-4
desktop-file-utils 0.26-2
device-mapper 2.03.16-2
devour 12-2
dex 0.9.0-1
dhclient 4.4.3.P1-1
dhcpcd 9.4.1-1
dialog 1:1.3_20220728-1
diffutils 3.8-1
ding-libs 0.6.2-1
dkms 3.0.7-1
dmenu 5.2-1
dmidecode 3.4-1
dmraid 1.0.0.rc16.3-14
dnsmasq 2.87-1
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
dosfstools 4.2-2
double-conversion 3.2.1-1
dpkg 1.21.9-1
drbl 2.30.5-2
dtc 1.6.1-4
duf-bin 0.6.2-2
duktape 2.7.0-4
e2fsprogs 1.46.5-4
ecryptfs-utils 111-5
edid-decode-git r644.f1ff7ad-1
edk2-ovmf 202208-1
edk2-shell 202208-1
efibootmgr 18-1
efivar 38-2
emacs 28.2-1
enchant 2.3.3-2
endeavouros-keyring 20220523-3
endeavouros-mirrorlist 4.4.3-1
ethtool 1:6.0-1
exfatprogs 1.1.3-1
exiv2 0.27.5-3
exo 4.16.4-1
expac 10-5
expat 2.4.9-1
f2fs-tools 1.15.0-2
faac 1.30-3
faad2 2.10.1-1
fakeroot 1.29-1
fatresize 1.1.0-1
ffmpeg 2:5.1.2-1
ffmpeg4.4 4.4.2-3
ffmpegthumbnailer 2.2.2-4
ffnvcodec-headers 11.1.5.1-2
fftw 3.3.10-3
file 5.43-1
filesystem 2022.10.18-1
findutils 4.9.0-1
firefox 106.0.1-1
fish 3.5.1-1
flac 1.4.2-1
flameshot 12.1.0-1
flatpak 1:1.14.0-1
flex 2.6.4-3
fluidsynth 2.3.0-2
fmt 9.1.0-1
fontconfig 2:2.14.1-2
foomatic-db 3:20221004-1
foomatic-db-engine 4:20220521-1
foomatic-db-gutenprint-ppds 5.3.4-1
foomatic-db-nonfree 3:20221004-1
foomatic-db-nonfree-ppds 3:20221004-1
foomatic-db-ppds 3:20221004-1
freeglut 3.4.0-1
freeimage 3.18.0-15
freetype2 2.12.1-1
fribidi 1.0.12-1
fsarchiver 0.8.6-1
fuse-common 3.12.0-1
fuse2 2.9.9-4
fuse3 3.12.0-1
gallery-dl 1.23.2-1
gawk 5.2.0-3
gc 8.2.2-1
gcab 1.5-1
gcc 12.2.0-1
gcc-libs 12.2.0-1
gconf 3.2.6+11+g07808097-10
gcr 3.41.1-2
gd 2.3.3-4
gdb 12.1-1
gdb-common 12.1-1
gdbm 1.23-1
gdk-pixbuf2 2.42.9-1
gegl 0.4.38-1
geoclue 2.6.0-2
geocode-glib 3.26.4-1
gettext 0.21.1-1
ghostscript 10.0.0-1
giflib 5.2.1-2
gimp 2.10.32-2
git 2.38.1-1
github-desktop-bin 3.0.6_linux1-1
gksu 2.0.2-6
glib-networking 1:2.74.0-1
glib2 2.74.0-2
glibc 2.36-6
glibmm 2.66.5-1
glslang 11.11.0-1
glu 9.0.2-3
gmp 6.2.1-2
gnome-desktop-4 1:42.4-1
gnome-desktop-common 1:42.4-1
gnome-keyring 1:42.1-1
gnupg 2.2.40-1
gnutls 3.7.8-1
go 2:1.19.2-1
gobject-introspection-runtime 1.74.0-1
gpart 0.3-4
gparted 1.4.0-1
gpgme 1.18.0-1
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.9-1
graphene 1.10.8-1
graphite 1:1.3.14-2
graphviz 6.0.2-1
grep 3.8-2
groff 1.22.4-7
grub 2:2.06.r334.g340377470-1
grub-customizer 5.2.2-1
gsettings-desktop-schemas 42.0-1
gsfonts 20200910-2
gsm 1.0.22-1
gssdp 1.4.0.1-1
gssproxy 0.9.1-2
gst-plugins-bad 1.20.4-1
gst-plugins-bad-libs 1.20.4-1
gst-plugins-base 1.20.4-1
gst-plugins-base-libs 1.20.4-1
gst-plugins-good 1.20.4-1
gst-plugins-ugly 1.20.4-1
gstreamer 1.20.4-1
gtk-update-icon-cache 1:4.8.1-1
gtk-vnc 1.3.1-1
gtk2 2.24.33-2
